Country.Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious.Critical;Tot.Cases.1M.pop;Deaths.1M.pop;TotalTests;Tests.1M.pop;Continent;Death Rate(%) DR;Recover Rate(%) RR;Country Severity Index (Deaths/Recovered*100)
Brazil;  25262; 1832;  1532; 204; 14026;   9704;  296;  119,00;   7,00;  62985;   296;South America; 6,0644446; 55,5221281;  10,9225724
Russia;  21102; 2774;   170;  22;  1694;  19238;    8;  145,00;   1,00;1400000;  9593;Europe; 0,8056108;  8,0276751;  10,0354191
Portugal;  17448;  514;   567;  32;   347;  16534;  218; 1711,00;  56,00; 191680; 18798;Europe; 3,2496561;  1,9887666; 163,4005764
Austria;  14226;  185;   384;  16;  7633;   6209;  243; 1580,00;  43,00; 151796; 16854;Europe; 2,6992830; 53,6552791;   5,0307874
Israel;  12046;  460;   123;   7;  2195;   9728;  175; 1392,00;  14,00; 117339; 13557;Asia; 1,0210858; 18,2218164;   5,6036446
India;  11487; 1034;   393;  35;  1359;   9735;NA;    8,00;   0,30; 244893;   177;Asia; 3,4212588; 11,8307652;  28,9183223
Ireland;  11479;  832;   406;  41;    25;  11048;  194; 2325,00;  82,00;  90646; 18358;Europe; 3,5368935;  0,2177890;1624,0000000
Sweden;  11445;  497;  1033; 114;   381;  10031;  915; 1133,00; 102,00;  54700;  5416;Europe; 9,0257754;  3,3289646; 271,1286089
S. Korea;  10564;   27;   222;   5;  7534;   2808;   55;  206,00;   4,00; 527438; 10288;Asia; 2,1014767; 71,3176827;   2,9466419
Peru;  10303;  519;   230;  14;  2869;   7204;  132;  312,00;   7,00; 102216;  3100;South America; 2,2323595; 27,8462584;   8,0167306
Chile;   7917;  392;    92;  10;  2646;   5179;  387;  414,00;   5,00;  87794;  4593;South America; 1,1620563; 33,4217507;   3,4769463
Japan;   7645;   27;   143;NA;   799;   6703;  135;   60,00;   1,00;  78702;   622;Asia; 1,8705036; 10,4512753;  17,8973717
Ecuador;   7603;   74;   369;  14;   696;   6538;  129;  431,00;  21,00;  25347;  1437;South America; 4,8533474;  9,1542812;  53,0172414
Poland;   7202;  268;   263;  18;   618;   6321;  160;  190,00;   7,00; 148321;  3919;Europe; 3,6517634;  8,5809497;  42,5566343
Romania;   6879;  246;   351;  20;  1051;   5477;  241;  358,00;  18,00;  70097;  3644;Europe; 5,1024858; 15,2783835;  33,3967650
Norway;   6623;   20;   139;   5;    32;   6452;   59; 1222,00;  26,00; 128569; 23716;Europe; 2,0987468;  0,4831647; 434,3750000
Denmark;   6511;  193;   299;  14;  2515;   3697;  100; 1124,00;  52,00;  74210; 12812;Europe; 4,5922285; 38,6269390;  11,8886680
Australia;   6400;   41;    61;NA;  3598;   2741;   80;  251,00;   2,00; 366493; 14372;Australia/Oceania; 0,9531250; 56,2187500;   1,6953863
Czechia;   6111;   52;   161;  18;   642;   5308;   92;  571,00;  15,00; 131542; 12283;Europe; 2,6345934; 10,5056456;  25,0778816
Pakistan;   5837;  341;    96;   3;  1378;   4363;   46;   26,00;   0,40;  69928;   317;Asia; 1,6446805; 23,6080178;   6,9666183
Saudi Arabia;   5369;  435;    73;   8;   889;   4407;   59;  154,00;   2,00; 150000;  4309;Asia; 1,3596573; 16,5580183;   8,2114736
Philippines;   5223;  291;   335;  20;   295;   4593;    1;   48,00;   3,00;  43500;   397;Asia; 6,4139383;  5,6480950; 113,5593220
Mexico;   5014;  353;   332;  36;  1964;   2718;  207;   39,00;   3,00;  37395;   290;North America; 6,6214599; 39,1703231;  16,9042770
Malaysia;   4987;  170;    82;   5;  2478;   2427;   60;  154,00;   3,00;  84791;  2620;Asia; 1,6442751; 49,6891919;   3,3091203
UAE;   4933;  412;    28;   3;   933;   3972;    1;  499,00;   3,00; 648195; 65538;Asia; 0,5676059; 18,9134401;   3,0010718
Indonesia;   4839;  282;   459;  60;   426;   3954;NA;   18,00;   2,00;  31628;   116;Asia; 9,4854309;  8,8034718; 107,7464789
Serbia;   4465;  411;    94;   9;   400;   3971;  131;  511,00;  11,00;  23398;  2678;Europe; 2,1052632;  8,9585666;  23,5000000
Panama;   3574;  102;    95;   1;    72;   3407;  106;  828,00;  22,00;  16053;  3720;North America; 2,6580862;  2,0145495; 131,9444444
Qatar;   3428;  197;     7;NA;   373;   3048;   37; 1190,00;   2,00;  52622; 18265;Asia; 0,2042007; 10,8809802;   1,8766756
Ukraine;   3372;  270;    98;   5;   119;   3155;   45;   77,00;   2,00;  35153;   804;Europe; 2,9062871;  3,5290629;  82,3529412
Luxembourg;   3307;   15;    67;NA;   500;   2740;   30; 5283,00; 107,00;  29523; 47163;Europe; 2,0260054; 15,1194436;  13,4000000
Dominican Republic;   3286;  119;   183;   6;   162;   2941;  143;  303,00;  17,00;   9275;   855;North America; 5,5690809;  4,9300061; 112,9629630
Belarus;   3281;  362;    33;   4;   203;   3045;   57;  347,00;   3,00;  71875;  7606;Europe; 1,0057909;  6,1871381;  16,2561576
Singapore;   3252;  334;    10;   1;   611;   2631;   29;  556,00;   2,00;  72680; 12423;Asia; 0,3075031; 18,7884379;   1,6366612
